Unnamed: 0,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of update,Mapped Category
26,Rema1000,FROKOSTSTYKKER,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63655/image/1706087876/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,400.0,GR.,2025-04-18,BRØD
27,Rema1000,SOLSTYKKER,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60099/image/1618240049/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,360.0,GR.,2025-04-18,BRØD
28,Rema1000,BRØD,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60161/image/1732882868/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,250.0,GR.,2025-04-18,BRØD
29,Rema1000,PAN BRIOCHE STYLE,BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60160/image/1732882836/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,200.0,GR.,2025-04-18,BRØD
30,Rema1000,SOLSIKKERUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61508/image/1618240065/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,950.0,GR.,2025-04-18,BRØD
31,Rema1000,BONDEBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61240/image/1726816742/170.jpg,https://shop.rema1000.dk/brod-bavinchi,6.95,400.0,GR.,2025-04-18,BRØD
32,Rema1000,MØRKT RUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61206/image/1661867080/170.jpg,https://shop.rema1000.dk/brod-bavinchi,5.75,500.0,GR.,2025-04-18,BRØD
33,Rema1000,SOLSIKKERUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61201/image/1723796474/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.95,500.0,GR.,2025-04-18,BRØD
34,Rema1000,RUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61117/image/1718892353/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.95,600.0,GR.,2025-04-18,BRØD
35,Rema1000,GULERODSRUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60601/image/1648999153/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,925.0,GR.,2025-04-18,BRØD
36,Rema1000,KERNEGROVBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61523/image/1698670619/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,950.0,GR.,2025-04-18,BRØD
37,Rema1000,SOLSIKKE,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60033/image/1744811894/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,750.0,GR.,2025-04-18,BRØD
38,Rema1000,PROTEINBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60738/image/1732883000/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.95,600.0,GR.,2025-04-18,BRØD
39,Rema1000,SIGNATURBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63144/image/1618240069/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.0,750.0,GR.,2025-04-18,BRØD
40,Rema1000,SOLSIKKERUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61505/image/1618240065/170.jpg,https://shop.rema1000.dk/brod-bavinchi,13.25,475.0,GR.,2025-04-18,BRØD
41,Rema1000,SANDWICHRUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61534/image/1686144656/170.jpg,https://shop.rema1000.dk/brod-bavinchi,25.0,810.0,GR.,2025-04-18,BRØD
42,Rema1000,ØKO. SOLSIKKE,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60136/image/1708694438/170.jpg,https://shop.rema1000.dk/brod-bavinchi,22.0,700.0,GR.,2025-04-18,BRØD
43,Rema1000,FULDK. RUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61242/image/1634108695/170.jpg,https://shop.rema1000.dk/brod-bavinchi,12.0,600.0,GR.,2025-04-18,BRØD
44,Rema1000,SCHWARZBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61200/image/1726816569/170.jpg,https://shop.rema1000.dk/brod-bavinchi,8.0,500.0,GR.,2025-04-18,BRØD
45,Rema1000,SOLSIKKERUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61114/image/1744033031/170.jpg,https://shop.rema1000.dk/brod-bavinchi,9.75,600.0,GR.,2025-04-18,BRØD
46,Rema1000,HERKULES,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60744/image/1732883033/170.jpg,https://shop.rema1000.dk/brod-bavinchi,21.95,1000.0,GR.,2025-04-18,BRØD
47,Rema1000,BONDEBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/63644/image/1618240070/170.jpg,https://shop.rema1000.dk/brod-bavinchi,23.95,500.0,GR.,2025-04-18,BRØD
48,Rema1000,FULDK.RUGBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61205/image/1661867033/170.jpg,https://shop.rema1000.dk/brod-bavinchi,7.75,500.0,GR.,2025-04-18,BRØD
49,Rema1000,SKOVMANDSBRØD,RUGBRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60508/image/1618240052/170.jpg,https://shop.rema1000.dk/brod-bavinchi,13.25,500.0,GR.,2025-04-18,BRØD
50,Rema1000,STORE HOTDOGBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61251/image/1676472268/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,360.0,GR.,2025-04-18,BRØD
51,Rema1000,BURGERBOLLER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61250/image/1671199062/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,330.0,GR.,2025-04-18,BRØD
52,Rema1000,PITABRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/60130/image/1715956816/170.jpg,https://shop.rema1000.dk/brod-bavinchi,16.5,500.0,GR.,2025-04-18,BRØD
53,Rema1000,PØLSEBRØD,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/61255/image/1618240065/170.jpg,https://shop.rema1000.dk/brod-bavinchi,10.0,430.0,GR.,2025-04-18,BRØD
54,Rema1000,FULDKORN BURGER,FAST FOOD BRØD,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/66035/image/1648106391/170.jpg,https://shop.rema1000.dk/brod-bavinchi,20.5,320.0,GR.,2025-04-18,BRØD
