Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update,Name Cleaned
Coop,Italiana pizza,18,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F4b8b7970aec59c04f517b2b7604c76f6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F6bba79995e57283bbff60fe06dd72e15%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7184a068dd48a92fb09a55bd964b5d87%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F43c708985e79e70dd117271ae31059e7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe8c8f0d3b90d8e334d9698216306e792&w=378&s=6462ee8c32e39644d3837a5d5ecf3394,,300-410,g,2025-04-27,italiana pizza
Coop,Tulip bacon 3-pak,32,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F07aee01f1d0cc2dfc978c8eefa8d2f85&w=378&s=075df85cdc3e8b03b6d083296b315d13,,3,x,2025-04-27,tulip bacon pak
Coop,Cheasy skyr,3.65,,https://image-transformer-api.tjek.com/?_id=v2.6&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5055ab5ae717758c13ace0d835cd2cd6%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F18af2cb26c30764190400197897a14f0&w=828&s=98353a966e5fc18ac18c62bde29d33b6,,180,g,2025-04-27,cheasy skyr
Coop,The Perfect Mixer,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=485&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3164782d5bb95849974147fa363b431a&w=395&s=ddc5abef21af60a87fa38c6e0e22075e,,33-50,cl,2025-04-27,the perfect mixer
Coop,X-RAY*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=485&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3164782d5bb95849974147fa363b431a&w=395&s=ddc5abef21af60a87fa38c6e0e22075e,,33-50,cl,2025-04-27,xray
Coop,Trainers til hele familien,2025-04-27,,,,,,,trainers til hele familien
Coop,Blue Keld*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fae80d4c4c232e2b56e7b86cf1513458e&w=378&s=7220677c5796611a033931ca60558540,,50,cl,2025-04-27,blue keld
Coop,Panda Pepe*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=947&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5627f15fabbc9ca2599df625da679b17&w=828&s=8b0e000cd45bc9c6d34d6758aaa0ca35,,28-32,g,2025-04-27,panda pepe
Coop,Müslibars*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fbf4b2ba671273314bdeb05b75a78bd9a&w=828&s=34885f39e5a912b95e65802c8fe53735,,40-45,g,2025-04-27,müslibars
Coop,365 økologisk smoothies*,3.65,,https://image-transformer-api.tjek.com/?_id=v2.6&h=390&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fb76f3839ec9731634045745b5d8a60a3%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F485464d1b0617fd8f7ac6312925cf027%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fa52843f6ce1932c90af3f48a362b2e16%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F7dd2c6d255c257b9fcc78501fdb3d4a7%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F911f4516b77bcd179aead2b00a9e3009&w=378&s=b90078ed24065db500e1959e97bd487c,,90,g,2025-04-27,smoothies
