Retail,Name,Price,Category,Img,Link,Quantity,Unit,Date of Update
Coop,Lammekølle*,44.95,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F8dd42e39c325ebc471ce4e57efb1eb55&w=352&s=ab64978e2f8c5971b8004f02502110c5,,,,2025-04-18
Coop,Steff Houlberg tarteletfyld*,20,,https://image-transformer-api.tjek.com/?_id=v2&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F5e236ebf02d2ae6b1339533be6d41d4f&w=552&s=ca54286ef58fda129e0659c514ad5726,,350,g,2025-04-18
Coop,Paradiso asparges,12,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F508de0721ea75de18235810ce22a8a5f&w=195&s=0ff53cc61026201a9e5b0dc19d56007a,,240,g,2025-04-18
Coop,Fiskefilet eller rejer*,19,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F57b5dea4cda533de11fe5e246ba22626%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fd4a3e9f8a68408d30b34cddb69e16fac&w=252&s=8ce29a1b980f621b5136d5ced031f13c,,150-400,g,2025-04-18
Coop,Tarteletter*,10,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F581d351d2752b63e97420cbbacc1738d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F34ea36856fa4af7f0472f08222f05b1c&w=252&s=341081df3a4dd63201feb8a3ac32d719,,120-225,g,2025-04-18
Coop,Beauvais survarer*,13,,https://image-transformer-api.tjek.com/?_id=v2.6&h=631&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F409669f1055a524af14edc4e5fe15d2d%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F3bef530b2d64ff65ab8d62ad1f3adab3%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fe5cb855fd61e5fd6eac94bfdca866a51&w=552&s=128c0191de878cc73edde6dbec3e7a50,,325-580,g,2025-04-18
Coop,3-Stjernet pålæg*,12,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F222eab58fe3bba234e59445e8ccfc47c%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F94fd11c844bd74cccd58d17d9fa00c4f%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1241ceb51620121f812f1ed0176d553e%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F9b4dc8b91c8999ff3a6dbd147fc975bd&w=552&s=7ca441ee554694e1831489b7fdcaadfa,,60-90,g,2025-04-18
Coop,Bacon i skiver*,6,,https://image-transformer-api.tjek.com/?_id=v2&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F93911477595cf482882d42b18cdf3e54&w=252&s=eb86e6aad2165f2b721270c93b9aaf84,,100,g,2025-04-18
Coop,Stryhns leverpostej*,15,,https://image-transformer-api.tjek.com/?_id=v2.6&h=260&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F1bc7502cf27aee6a42d901dffaa7e26a%2Cs3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2Fd69cb1a2d620f6ac250726a82e63ef89&w=252&s=117285c2c6478c8f1fcb7d2b242cef34,,400,g,2025-04-18
Coop,Bag selv leverpostej*,3.65,,https://image-transformer-api.tjek.com/?_id=v2&h=323&u=s3%3A%2F%2Fsgn-prd-bumblebee%2Ffeed-images%2F912e0718916931d96be522dd8e60ae2e&w=468&s=048ab49d2ff34519c55a6857e0b24f51,,250,g,2025-04-18
