,Retail,Name,Category,Img,Link,Price,Quantity,Unit,Date of Update
28,Rema1000,PANERET FISK M.REJER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42981/image/1727956557/170.jpg,https://shop.rema1000.dk/frost,19.95,250,GR.,2025-06-01
29,Rema1000,VANNAMEI REJER RÅ,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43249/image/1618239293/170.jpg,https://shop.rema1000.dk/frost,25.00,200,GR.,2025-06-01
30,Rema1000,STORE VESTERHAVS RØDSPÆTTER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43006/image/1730205747/170.jpg,https://shop.rema1000.dk/frost,49.00,500,GR.,2025-06-01
31,Rema1000,LAKSEFILET 4 X 100G,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43275/image/1737655207/170.jpg,https://shop.rema1000.dk/frost,79.95,400,GR.,2025-06-01
32,Rema1000,TUNSTEAKS,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43362/image/1733392378/170.jpg,https://shop.rema1000.dk/frost,25.00,225,GR.,2025-06-01
33,Rema1000,INDBAGT VILDLAKS,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42975/image/1618239286/170.jpg,https://shop.rema1000.dk/frost,44.95,500,GR.,2025-06-01
34,Rema1000,DANSK LAKSEFILET,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/43274/image/1737655207/170.jpg,https://shop.rema1000.dk/frost,69.95,400,GR.,2025-06-01
35,Rema1000,SILDEFILETER,FISK & SKALDYR,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42916/image/1700575263/170.jpg,https://shop.rema1000.dk/frost,25.00,400,GR.,2025-06-01
36,Rema1000,PASTA CARBONARA,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45095/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,17.95,350,GR.,2025-06-01
37,Rema1000,LASAGNE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45100/image/1656676043/170.jpg,https://shop.rema1000.dk/frost,17.95,400,GR.,2025-06-01
38,Rema1000,BOLLER I KARRY,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45102/image/1618239321/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01
39,Rema1000,THAIBOX PANANG,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44850/image/1695721854/170.jpg,https://shop.rema1000.dk/frost,27.95,350,GR.,2025-06-01
40,Rema1000,PARISERTOAST,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42714/image/1744276898/170.jpg,https://shop.rema1000.dk/frost,19.95,200,GR.,2025-06-01
41,Rema1000,FRIKADELLER M. RØDKÅL,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45107/image/1673878808/170.jpg,https://shop.rema1000.dk/frost,19.95,350,GR.,2025-06-01
42,Rema1000,THAIBOX RED CURRY,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44851/image/1695721874/170.jpg,https://shop.rema1000.dk/frost,27.95,350,GR.,2025-06-01
43,Rema1000,KYLLING M. SKYSAUCE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45113/image/1739194214/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01
44,Rema1000,BØF MED BEARNAISE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45110/image/1741794091/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01
45,Rema1000,THAIBOX SWEET CHILI TERIYAKI,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/44853/image/1695721903/170.jpg,https://shop.rema1000.dk/frost,27.95,320,GR.,2025-06-01
46,Rema1000,BIKSEMAD,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45032/image/1695298779/170.jpg,https://shop.rema1000.dk/frost,29.95,500,GR.,2025-06-01
47,Rema1000,RISOTTO M/SVAMPE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/42176/image/1618239282/170.jpg,https://shop.rema1000.dk/frost,14.95,400,GR.,2025-06-01
48,Rema1000,MILLIONBØF,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45103/image/1618239321/170.jpg,https://shop.rema1000.dk/frost,22.95,350,GR.,2025-06-01
49,Rema1000,MØRBRAD A LA CREME,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45112/image/1738317996/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01
50,Rema1000,FETTUCCINE FUNGHI,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45094/image/1618239320/170.jpg,https://shop.rema1000.dk/frost,17.95,350,GR.,2025-06-01
51,Rema1000,KYLLING MED BEARNAISE,FÆRDIGRETTER,https://api.digital.rema1000.dk/api/v1/catalog/store/1/item/45111/image/1738742959/170.jpg,https://shop.rema1000.dk/frost,32.95,450,GR.,2025-06-01
